soleus_r_tendon	gasmed_r_tendon	tibant_r_tendon	recfem_r_tendon	vasmed_r_tendon	vaslat140_r_tendon	semiten_r_tendon	bflh140_r_tendon	glmed1_r_tendon	soleus_l_tendon	gasmed_l_tendon	tibant_l_tendon	recfem_l_tendon	vasmed_l_tendon	vaslat140_l_tendon	semiten_l_tendon	bflh140_l_tendon	glmed1_l_tendon
0.0	0.0	0.0	1.0	0.47901374101638794	0.39809802174568176	0.4500720202922821	0.375316746532917	0.0	0.031239092350006104	0.0	0.0	0.03848230838775635	0.3552970290184021	0.0020605921745300293	0.4321948513388634	0.7195118516683578	0.0
0.0	0.0	0.880549818277359	0.6758289039134979	0.03170257806777954	0.9097650349140167	0.7935875058174133	0.3898172155022621	0.0	0.12684372067451477	0.6476626098155975	0.5752397701144218	0.816574901342392	0.0	0.7731292843818665	1.0	0.0	0.0
0.0	0.0	0.6339455544948578	0.7862825691699982	0.0	1.0	0.7461052238941193	0.6320091634988785	0.0	0.2021477222442627	0.9210812449455261	0.6278082430362701	0.19056883454322815	0.0	0.5426613986492157	1.0	0.003376007080078125	0.0
0.11226263642311096	0.0	0.6958934664726257	1.0	0.0	1.0	0.41882050037384033	0.3748641461133957	0.4607042670249939	0.0	0.8930636048316956	1.0	0.4657486081123352	0.0	1.0	1.0	0.0	0.3024376928806305
0.06441128253936768	0.0	0.8844221830368042	1.0	0.0	0.8786165714263916	0.9484340846538544	1.0	0.0	0.33441340923309326	0.7327592819929123	1.0	0.821293443441391	0.0	0.5901752784848213	1.0	0.0	0.2013823688030243
0.0	0.0	0.6147644370794296	0.5929436385631561	0.10105222463607788	0.8773855566978455	0.9083037972450256	0.9570783972740173	0.0	0.165521502494812	0.1589289903640747	0.5554201826453209	0.9464994072914124	0.0	0.0	1.0	0.10948795080184937	0.0
0.24778902530670166	0.0	0.3951018452644348	0.7748030424118042	0.2840878516435623	0.6311739981174469	0.9525913000106812	1.0	0.0	0.6901255697011948	0.3696267306804657	0.2502051889896393	0.777161717414856	0.0	0.0	1.0	0.8557578325271606	0.0
0.026801258325576782	0.0	0.36989331245422363	0.4211954399943352	1.0	0.5062476098537445	0.3293706327676773	1.0	0.0	1.0	0.11262360215187073	0.5191689729690552	0.3124513477087021	0.32182489335536957	0.0	0.6621714532375336	0.0	0.0
0.0	0.0	0.0	0.578607052564621	1.0	0.13399338722229004	0.10134175419807434	1.0	0.0	1.0	0.0	0.0	0.8836638927459717	0.2273874580860138	0.0	0.038697242736816406	0.4494801163673401	0.0
0.0	0.0	0.0	0.0019466876983642578	1.0	0.0	0.7835416197776794	1.0	0.0	1.0	0.0	0.0	0.29952773451805115	0.0	0.0	0.0	0.38734324276447296	0.0
0.0	0.0	0.0	0.0	1.0	0.0	0.437732994556427	1.0	0.0	1.0	0.0	0.0	0.0	0.24045202136039734	0.0	0.0	0.012215614318847656	0.0
0.0	0.0	0.0	0.531335860490799	1.0	0.0	0.269381582736969	1.0	0.0	1.0	0.0	0.0	0.23232921957969666	0.0	0.0	0.0	0.6258374154567719	0.01281648874282837
0.0	0.0	0.0	0.0	1.0	0.0	0.3169771730899811	1.0	0.0	1.0	0.0	0.0	0.16853851079940796	0.3812864422798157	0.0	0.8458932340145111	0.621598482131958	0.0
0.0	0.6382621377706528	0.0	0.33739912509918213	0.9950912594795227	0.0	0.4321938827633858	0.6936359703540802	0.0	1.0	0.0	0.0	0.7961117327213287	0.4196012243628502	0.0	0.0	0.7237110733985901	0.0
0.0	0.9416929185390472	0.29610762000083923	1.0	0.3744308352470398	0.0	0.6118438839912415	1.0	0.0	1.0	0.0	0.0	0.7430494874715805	1.0	0.0	0.0	0.5682782828807831	0.1881496012210846
0.0	0.7588645219802856	0.11837178468704224	1.0	0.7967441976070404	0.0	0.6248856335878372	0.9203091561794281	0.0	0.5150832757353783	0.0	0.0	0.24492311477661133	1.0	0.0	0.0	0.010734200477600098	0.7851960957050323
0.28909817337989807	1.0	0.6592809855937958	0.2567276507616043	0.46972350776195526	0.0	0.4669259488582611	1.0	0.0	0.7456639856100082	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.941024124622345
0.0	1.0	0.0	0.6003686636686325	0.7065779119729996	0.0	0.880010575056076	1.0	0.1166549026966095	0.37981587648391724	0.0	0.0	0.3774326220154762	1.0	0.0	0.0	1.0	0.8398702144622803
0.0	1.0	0.7960831522941589	0.6278406083583832	0.6115535199642181	0.0	0.2761560082435608	0.905132532119751	0.8017736971378326	0.7838695347309113	0.0	0.0	0.22633296251296997	1.0	0.0	0.0	0.5829817056655884	0.706173911690712
0.0	1.0	1.0	0.0	1.0	0.4757545944303274	0.08628499507904053	0.5487684905529022	1.0	0.9139390587806702	0.0	0.6854154765605927	0.7872352004051208	1.0	0.0	0.0	1.0	1.0
0.0	1.0	0.5742261856794357	0.0	1.0	0.1523464322090149	0.0	0.9723584651947021	0.5419623702764511	1.0	0.0	0.17923524975776672	0.5695392340421677	1.0	0.0	0.0	0.7062605619430542	0.7523013949394226
0.0	1.0	0.07954686880111694	0.0	1.0	0.09403496980667114	0.0	0.7027770131826401	0.0	1.0	0.0	0.0	0.32237716019153595	1.0	0.0	0.0	1.0	0.7467762678861618
0.12308591604232788	1.0	0.990612268447876	0.235515296459198	1.0	0.9193327128887177	0.3336251527070999	0.5269350409507751	0.6069445610046387	1.0	0.22896867990493774	0.28947025537490845	1.0	1.0	0.0	0.0	1.0	0.3371511697769165
0.0	1.0	1.0	0.07334613800048828	0.7125589102506638	0.5380221009254456	0.0	0.33176344633102417	0.22376742959022522	1.0	0.0643112063407898	0.18518728017807007	0.9952007532119751	0.9960149228572845	0.0	0.0	1.0	0.5549248978495598
0.0	0.7170703411102295	0.4852009303867817	0.007497847080230713	0.5043264925479889	0.0	0.0	0.6098853200674057	0.0	1.0	0.0	0.0	0.43255600333213806	0.9255363047122955	0.0	0.0	0.9792363047599792	0.23675543069839478
0.0	0.5429773032665253	0.42841851711273193	0.19794303178787231	1.0	0.0	0.4918830990791321	1.0	0.0	1.0	0.0	0.0	0.4938781410455704	0.9074927270412445	0.0	0.0	0.5467107966542244	0.35794761776924133
0.0	0.2128412127494812	0.0	0.0	1.0	0.0	0.31858688592910767	0.7554787993431091	0.0	1.0	0.0	0.0	0.7201785147190094	0.9169899225234985	0.0	0.0	0.7296353280544281	0.22533279657363892
0.0	0.0825161337852478	0.2106013000011444	0.0	1.0	0.0	0.8697503209114075	0.6185645237565041	0.0	1.0	0.0	0.0	1.0	0.30112671852111816	0.0	0.1333971619606018	0.7708134055137634	0.22471490502357483
0.0	0.3407028764486313	0.09846964478492737	0.6352599710226059	1.0	0.0	0.07810735702514648	0.3329620212316513	0.0	1.0	0.0	0.0	0.391242191195488	1.0	0.0	0.0	0.6775881201028824	0.0706128478050232
0.0	0.14526015520095825	0.004795104265213013	0.35230351984500885	1.0	0.0	0.2634948641061783	0.6309751868247986	0.0	1.0	0.0	0.0	0.7101003378629684	0.5034659802913666	0.0	0.0	0.7776627838611603	0.11769089102745056
0.0	0.15990960597991943	0.0	0.2781035304069519	1.0	0.0	0.42776286602020264	0.20597881078720093	0.0	1.0	0.0	0.0	0.7586067616939545	0.7537676393985748	0.0	0.0	0.23414871096611023	0.13228410482406616
0.0	0.1262618601322174	0.2117416262626648	0.46866950765252113	0.8670899271965027	0.0	0.9611371159553528	0.37182697653770447	0.0	1.0	0.15514624118804932	0.019853442907333374	0.3907638043165207	0.1395902931690216	0.0	0.0	0.3656860291957855	0.9555595517158508
0.0	0.0	0.9575328230857849	0.5124327130615711	0.8451781868934631	0.30696603655815125	0.8051013648509979	0.4135464131832123	0.3558782637119293	1.0	0.5222354475408792	0.7698318362236023	0.30773159861564636	0.23520520329475403	0.01043391227722168	0.0	0.5861838981509209	0.48800214380025864
0.07073721289634705	0.5244428999722004	0.36265844106674194	0.13764441013336182	0.44730424880981445	0.4037710726261139	1.0	0.0	0.0	1.0	0.0764685869216919	0.07056987285614014	0.4630490839481354	0.23192107677459717	0.0	0.0	1.0	0.636115089058876
0.0	0.883261501789093	0.0	0.5360726974904537	0.7987212538719177	0.0	0.2167428433895111	0.2391291856765747	0.0	1.0	0.0	0.0	0.5193760395050049	0.0	0.0	0.0	1.0	0.0
0.0	0.734900489449501	0.15514513850212097	0.22597470879554749	0.24013200402259827	0.0	0.35484085977077484	0.6025245636701584	0.0	1.0	0.0	0.0	0.0	0.2696739733219147	0.0	0.0	1.0	0.0
0.03350520133972168	0.6425148844718933	0.1907845437526703	0.0	0.8348090946674347	0.0	0.45371226221323013	0.9905142188072205	0.0	1.0	0.0	0.0	0.0	0.5708133727312088	0.0	0.0	0.2746778875589371	0.0
0.0	0.6605041772127151	0.07724437117576599	0.30472779273986816	1.0	0.23096153140068054	0.3383099287748337	0.14137405157089233	0.0	1.0	0.0	0.0	0.0	0.5022535473108292	0.0	0.0	0.5382398143410683	0.1519184410572052
0.3221453130245209	0.5561761632561684	0.12475335597991943	0.04699268937110901	1.0	0.0	0.08900848031044006	0.7772515416145325	0.0	1.0	0.0	0.0	0.6514521837234497	0.7331448048353195	0.0	0.0	0.0	0.9157903492450714
