timestamp	theta_l	dtheta_l	tau_l	theta_r	dtheta_r	tau_r
0.0	-6.193821335188399e-05	-0.030969106675941993	-0.09502268201111197	6.580636108406374e-05	0.032903180542031875	0.31224060026816214
0.002	-0.00020003375120034066	-0.06904776892422834	3.0165831386514377	0.00021497451643004488	0.07458407767299058	2.960081430746326
0.004	0.0006108828283250243	0.4054582897626825	0.385144829848195	-0.00046392346974954865	-0.33944899308979676	1.8318443466198702
0.006	0.0022474424680407755	0.8182798198578756	-0.8728923829508723	-0.0016936682512203585	-0.6148723907354049	1.2529059531379818
0.008	0.004611342443655927	1.1819499878075757	-0.7390890786367619	-0.0032740906403681087	-0.7902111945738751	1.1310404009696695
0.01	0.007726933979291263	1.5577957678176677	-0.8437267671454456	-0.005035723940027643	-0.880816649829767	0.7998065180337082
0.012	0.011631475051884006	1.9522705362963721	-0.7550885139891581	-0.0070285722580267634	-0.9964241589995599	0.8307517759377302
0.014	0.01635204786296289	2.360286405539442	-0.15941809500526335	-0.009274162379966847	-1.1227950609700414	1.2940182480850722
0.016	0.02189660717909531	2.77227965806621	0.28978107980569895	-0.011818080768721078	-1.2719591943771158	1.270398362604726
0.018000000000000002	0.02822684690390154	3.1651198624031154	0.00903547660934139	-0.01457041727406621	-1.3761682526725656	1.773570123057494
0.020000000000000004	0.03523958208326299	3.5063675896807247	-0.42755734377701665	-0.017495223153290444	-1.4624029396121174	1.9878118212297047
0.022000000000000006	0.04284319294009132	3.801805428414163	-2.081895353710184	-0.020537231339697717	-1.521004093203637	0.558972793112131
0.024000000000000007	0.05076528281181803	3.9610449358633564	-2.1271038185407427	-0.02349749194938776	-1.480130304845022	0.6934662338900311
0.02600000000000001	0.05894527933308655	4.0899982606342595	-3.1962406351814447	-0.02639561065828367	-1.449059354447954	0.966302015503046
0.02800000000000001	0.06719379181159968	4.124256239256562	-3.355084002928187	-0.029245589345826925	-1.4249893437716268	1.065041524124199
0.030000000000000013	0.07540846974701014	4.107338967705231	-4.244741995674762	-0.03203267844122006	-1.3935445476965695	0.5624711685273238
0.032000000000000015	0.08338844487233685	3.989987562663354	-10.086338872990616	-0.034707898287127614	-1.3376099229537752	0.4173681590369607
0.034000000000000016	0.0946433270469203	5.6274410872917295	-14.981195089891628	-0.04232475025360577	-3.8084259832390766	-0.914956907625462
0.03600000000000002	0.10897094648937299	7.163809721226343	-20.0	-0.05592132589983017	-6.798287823112201	-4.824735264644222
0.03800000000000002	0.12454773394813162	7.78839372937932	-20.0	-0.06975100240403267	-6.914838252101256	-16.000518709928375
0.04000000000000002	0.14016591295959938	7.809089505733882	-20.0	-0.08251667228120937	-6.382834938588353	-16.244866663614044
0.04200000000000002	0.1539605632260791	6.897325133239864	-20.0	-0.09383627756532224	-5.659802642056433	-14.576506289379006
0.044000000000000025	0.16531328747624074	5.67636212508082	-20.0	-0.1035527926488249	-4.858257541751328	-12.891907188619797
0.04600000000000003	0.17441677579517176	4.55174415946551	-19.992818272651935	-0.11111501600759127	-3.781111679383182	-11.978523002194848
0.04800000000000003	0.18151111701925632	3.54717061204228	-15.536092214604336	-0.11673126689638866	-2.8081254443986916	-12.221989899642569
0.05000000000000003	0.18680003520902255	2.6444590948831124	-12.541217283496419	-0.12054833060539073	-1.9085318545010388	-4.834851406746289
0.05200000000000003	0.19048261798420252	1.8412913875899832	-10.075859591825505	-0.12284671770242463	-1.1491935485169442	-3.502271183364458
0.054000000000000034	0.19278545025682634	1.1514161363119153	-4.504243362168166	-0.12388528511633508	-0.5192837069552266	-2.929810126646227
